country,date,elo_rating
Cape Verde,2024-06-08,1552
Cape Verde,2024-06-11,1560
Cape Verde,2024-09-06,1541
Cape Verde,2024-09-10,1551
Cape Verde,2024-10-10,1515
Cape Verde,2024-10-15,1490
Cape Verde,2024-11-15,1495
Cape Verde,2024-11-19,1472
Cape Verde,2025-06-03,1511
Cape Verde,2025-06-08,1518
Cape Verde,2025-09-04,1526
Cape Verde,2025-09-09,1544
Cape Verde,2025-10-08,1543
Cape Verde,2025-10-13,1549
Cape Verde,2025-11-13,1557
Cape Verde,2025-11-17,1561
Cape Verde,2026-03-27,1549
Cape Verde,2026-03-30,1549
Central African Republic,2024-03-22,1304
Central African Republic,2024-03-25,1317
Central African Republic,2024-06-05,1330
Central African Republic,2024-06-10,1324
Central African Republic,2024-09-05,1346
Central African Republic,2024-09-10,1331
Central African Republic,2024-10-12,1328
Central African Republic,2024-10-15,1325
Central African Republic,2024-11-14,1298
Central African Republic,2024-11-18,1285
Central African Republic,2025-10-08,1217
Chad,2024-03-22,1169
Chad,2024-03-26,1187
Chad,2024-06-05,1174
Chad,2024-06-11,1153
Chad,2024-09-06,1162
Chad,2024-09-10,1158
Chad,2024-10-11,1172
Chad,2024-10-15,1161
Chad,2024-11-13,1170
Chad,2024-11-19,1166
Chad,2025-09-04,1162
Chile,2024-03-22,1714
Chile,2024-03-26,1713
Chile,2024-06-11,1725
Chile,2024-06-21,1726
Chile,2024-06-25,1722
Chile,2024-06-29,1723
Chile,2024-09-05,1720
Chile,2024-09-10,1689
Chile,2024-10-10,1680
Chile,2024-10-15,1675
Chile,2024-11-15,1684
Chile,2024-11-19,1713
Chile,2025-06-05,1717
Chile,2025-09-04,1683
Chile,2025-09-09,1690
Chile,2026-03-27,1743
Chile,2026-03-30,1710
China PR,2024-01-01,1433
China PR,2024-01-13,1429
China PR,2024-01-17,1420
China PR,2024-01-22,1409
China PR,2024-03-21,1399
China PR,2024-03-26,1406
China PR,2024-06-06,1401
China PR,2024-06-11,1398
China PR,2024-09-05,1395
China PR,2024-09-10,1379
China PR,2024-10-10,1375
China PR,2024-10-15,1389
China PR,2024-11-14,1419
China PR,2024-11-19,1412
China PR,2026-01-26,1409
China PR,2026-03-27,1435
Colombia,2024-03-22,1995
Colombia,2024-03-26,1998
Colombia,2024-06-08,2011
Colombia,2024-06-15,2014
Colombia,2024-06-24,2021
Colombia,2024-06-28,2030
Colombia,2024-07-02,2029
Colombia,2024-07-06,2045
Colombia,2024-07-10,2069
Colombia,2024-07-14,2050
Colombia,2024-09-06,2038
Colombia,2024-09-10,2060
Colombia,2024-10-10,2025
Colombia,2024-10-15,2030
Colombia,2024-11-15,2009
